"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"A1BG"	86.4764065123473	-0.333752173116798	0.225090761847294	-1.48274487312466	0.138142207522737	0.278343335401698
"A1BG_AS1"	51.5849302122038	-0.394090189759414	0.253961207375744	-1.55177317761112	0.120716506002309	0.252908077065728
"A1CF"	5006.74504797252	0.130836889337537	0.129177376591843	1.01284677541437	0.311133354418697	0.482333955938113
"A2M"	39807.8471885084	-0.0247421052891987	0.116554922337938	-0.212278510361509	0.831889759638896	0.904083762706685
"A2M_AS1"	177.546419903418	-0.0634442687838381	0.12093030120199	-0.524635001759131	0.59983694980418	0.741600100179158
"A4GALT"	2683.87884463875	-0.130559906870685	0.160649165207232	-0.81270205607522	0.416388902112728	0.584589134267196
"A4GNT"	139.639463095108	-0.273326113772216	0.374466474363491	-0.729908102552596	0.465446359243613	0.628831319719026
"AAAS"	2053.03306688643	-0.11598170764762	0.0653767390279989	-1.77405158733825	0.0760546176507943	0.182652361231849
"AACS"	1543.67775868443	-0.102332448949044	0.0775335800651663	-1.3198468181533	0.186886166606367	0.342511592064979
"AACSP1"	132.422062478997	0.358018199691681	0.43514157235687	0.822762573000178	0.410643024110601	0.578973464651878
"AADAT"	419.223779582341	0.0910996968754826	0.186560021464184	0.488313070295031	0.625328104958797	0.76035823187235
"AAED1"	273.949249664386	0.38378177137276	0.154353352995909	2.48638441552308	0.0129048482705512	0.0490233513386818
"AAGAB"	1708.98147476905	0.00930204920088494	0.0548110919121645	0.16971107263821	0.8652373656922	0.923892053707904
"AAK1"	11820.9693744409	-0.0063030925222297	0.0646423939358004	-0.0975071023590124	0.922323694242244	0.957862055797549
"AAMDC"	531.04133636306	-0.212182749045223	0.105836350413457	-2.00481921585841	0.0449823774774725	0.124645325840982
"AAMP"	4482.12724998706	-0.185908482782604	0.0798710837396555	-2.327606864439	0.0199329886165029	0.0682547829191738
"AANAT"	39.6081904920507	0.395086986129602	0.302055805716324	1.30799335305824	0.190875563807467	0.347375721328217
"AAR2"	1561.00395457196	-0.261448449950324	0.0527464601416116	-4.95670134542485	7.17000599639152e-07	3.35443772232627e-05
"AARD"	90.4797482761238	-0.0428964739405555	0.391664324012539	-0.109523567275896	0.912787230223247	0.951949963165638
"AARS"	7396.75582233524	0.0107676002135155	0.0691086879378266	0.155806752158318	0.876185348176734	0.930735630465057
"AARS2"	1991.38325093629	-0.0622829951165115	0.0650107848264669	-0.958040966322178	0.33804210149506	0.5090660334624
"AASDH"	943.046127501334	0.239788580594151	0.101911270287721	2.35291523613794	0.018626879647718	0.064855992024269
"AASDHPPT"	1117.88274806164	0.428662767073608	0.0709013858531097	6.04590110497547	1.48577216517088e-09	2.16179850032363e-07
"AASS"	5159.79570953369	0.192505482931507	0.148919845828648	1.29267850003692	0.196122276785869	0.354071858058526
"AATBC"	238.696951010757	-0.0887960215660744	0.177545534819569	-0.500130975731457	0.616982856444562	0.754002324884097
"AATF"	1993.80950635477	0.0716594648278576	0.0503430108898195	1.4234242958708	0.15461319350751	0.300492859331044
"AATK"	767.720138791485	-0.0967494311286597	0.2876566627061	-0.336336486068146	0.736617138975529	0.840686172368164
"ABALON"	238.809684960633	-0.291986091366328	0.145738032783	-2.00349960672989	0.0451236897655361	0.124936079597563
"ABAT"	23137.5316739752	0.12349263860507	0.0984433660326655	1.25445363747612	0.209677167204282	0.370174527890007
"ABCA1"	5643.42621250137	-0.199408403633295	0.155901540900137	-1.27906627786974	0.200873717450947	0.359812295765811
"ABCA10"	860.023997389921	0.0919905469065343	0.125405333839096	0.7335457280036	0.463225648338628	0.627006361987943
"ABCA11P"	310.482576484623	-0.18584583680437	0.10117122379805	-1.83694364689451	0.0662182149794081	0.165487704946355
"ABCA12"	88.1673144550517	0.667558736557848	0.277741705019159	2.40352357782134	0.0162379198558145	0.0584234210077923
"ABCA13"	106.909838067723	-2.19145061114673	0.592313221195808	-3.69981714526388	0.000215754865685025	0.00228237540908576
"ABCA2"	7219.10875297335	-0.145503675115223	0.113816507665095	-1.27840572602498	0.2011064061237	0.360153946671305
"ABCA3"	1839.65589964431	-0.127865811888681	0.112433028156864	-1.13726201263819	0.255428769961947	0.422245229266198
"ABCA4"	375.759054464452	-0.466040219311987	0.248930759877912	-1.87216806609419	0.0611833555686589	0.156225019595227
"ABCA5"	2989.671332504	0.630317216180002	0.100928109438574	6.24520978036965	4.23231691155768e-10	7.81340312414342e-08
"ABCA6"	1229.22333688328	0.162650113033825	0.176886002293038	0.919519413211512	0.357823956235873	0.528562290683447
"ABCA7"	1474.88411008398	0.248438978449175	0.111844813998012	2.22128295062113	0.0263318028950603	0.0842038971699182
"ABCA8"	2622.45471629806	-0.0606092130161478	0.198775829481255	-0.304912388866995	0.76043287984796	0.856235054702888
"ABCA9"	808.358476908442	0.0998087340742649	0.183888081826712	0.542768911844544	0.587288920445559	0.732415448182596
"ABCB1"	7226.2714096172	0.299507970824853	0.0879329603225113	3.40609448068562	0.000658993692777459	0.00524536982443032
"ABCB10"	1246.69686329344	-0.0224281276768044	0.0618131345278467	-0.36283757243698	0.716726223022686	0.82753682065074
"ABCB4"	182.192950934397	0.115516341133305	0.250188046881808	0.461718065962905	0.644283513894923	0.77549801248331
"ABCB6"	1565.13688272831	-0.236277818096694	0.0628829132064165	-3.75742480824798	0.00017167092683831	0.00192893857518779
"ABCB7"	1407.75537372986	0.164856879907858	0.0653806569498777	2.52149316936722	0.0116857944245043	0.0455364059179107
"ABCB8"	2901.3614875763	-0.0435373855538839	0.0658603361266354	-0.661056230720881	0.508576253255901	0.668228797134044
"ABCB9"	518.227278370319	-0.193311250973808	0.131126012901293	-1.47424028761803	0.140416906112609	0.281462842831801
"ABCC1"	3106.19964919833	0.0172428342663688	0.0836367643495929	0.206163334993396	0.836663327035465	0.906067770926281
"ABCC10"	2479.25246395598	-0.185955010173121	0.108454097500927	-1.71459644640472	0.0864192407237423	0.200305063034232
"ABCC11"	40.3428999597981	-0.238242164803843	0.530651074421026	-0.448961994590853	0.653459073146213	0.782701187864332
"ABCC2"	9580.06176946789	0.156927032925943	0.102720014368065	1.52771622834517	0.126583009101022	0.26212805249734
"ABCC3"	3014.72185611765	-0.521773582500706	0.227781588431477	-2.29067496672441	0.0219822195124176	0.0734203584910454
"ABCC4"	6367.49174423835	0.0319965656615195	0.15633334816932	0.204668844083509	0.837830863909298	0.906752275747525
"ABCC5"	4033.46717675199	0.039462611858219	0.0726272030674599	0.54335855149983	0.586882957809737	0.732068693885162
"ABCC6"	12826.7576523996	-0.0496226138293457	0.109482146778806	-0.45324845455946	0.650369844947285	0.780416540949115
"ABCC6P1"	1097.95735371784	0.051068242316303	0.220276642375393	0.231836847364294	0.816664736566827	0.893532810484059
"ABCC6P2"	432.878836263078	-0.313222139070784	0.114240019979198	-2.74178995353659	0.00611054027638919	0.0279077914834275
"ABCC8"	118.483659473221	-0.168569554339603	0.244073818292434	-0.690649884198694	0.48978559066477	0.651580818259863
"ABCC9"	1507.27126484295	-0.423705216048851	0.198936753951484	-2.12984884709732	0.0331840944179176	0.0999364527383313
"ABCD1"	1187.29615079806	0.0828801554056391	0.111238596526277	0.745066532604637	0.456231499920106	0.620143980850946
"ABCD2"	154.224805994057	-0.329887459023312	0.220596209465271	-1.4954357548707	0.134800755004682	0.273983005647771
"ABCD3"	4841.83771167539	0.172207468152441	0.101078916425391	1.70369325515626	0.0884384088834132	0.203921439983793
"ABCD4"	4303.09762980417	0.0856810963315633	0.0518140185349089	1.65362770065474	0.0982031808121513	0.219259813992092
"ABCE1"	1148.65618816603	0.279229273695948	0.102362514179713	2.72784696559638	0.0063749175449919	0.0287768361969899
"ABCF2"	2313.22382470429	-0.214559375799707	0.0484824724136152	-4.42550400419457	9.62173718988639e-06	0.000239067446907611
"ABCF3"	3213.56043121238	-0.139170035438299	0.0462891330413599	-3.00653795598092	0.00264241062926919	0.0149389611200979
"ABCG1"	1311.34145656953	-0.392615985906499	0.192726925201976	-2.03716209084455	0.041633801377973	0.117866946522084
