"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"A1BG"	2.13463806273272	-0.19390599928615	0.413385655907133	-0.469068039771827	0.639021002907165	NA
"A2LD1"	2.53698828711487	0.254477036723506	0.359411087720422	0.708038915375528	0.478921091344072	NA
"A2ML1"	1.8255956895709	0.0143525204143927	0.43615677413953	0.0329067923860819	0.973748916189992	NA
"A4GNT"	1.02105222381387	0.00035653133398115	0.574753264804351	0.000620320676390616	0.999505055741303	NA
"AA004844"	1.20668095458299	-0.145930811702859	0.544612088538807	-0.267953677073879	0.788734975532876	NA
"AA004908"	1.02105222381387	0.00035653133398115	0.574753264804351	0.000620320676390616	0.999505055741303	NA
"AA043564"	1.08289591139325	0.443013382152651	0.547581299371908	0.809036726894803	0.418494021158238	NA
"AA069768"	1.08273724615239	-0.119900953721154	0.567919484323752	-0.21112315571269	0.832791171802197	NA
"AA081107"	8.94176390685968	-0.0370712848502402	0.215822623113805	-0.171767372277244	0.863620417386095	0.988880770476833
"AA150211"	1.51614356255734	0.417717025464461	0.457361435506126	0.913319298559149	0.361074635429209	NA
"AA150251"	2.56806533269814	0.14952843701545	0.36458321275582	0.410135277170859	0.681706715925612	NA
"AA151106"	1.45454572728901	0.247737147868627	0.477898608527008	0.518388510550824	0.604187229353618	NA
"AA176161"	3.12491840825065	-0.252567543227453	0.346343010991181	-0.729241056444718	0.465854220996466	NA
"AA188598"	1.63988500803143	-0.139049550970609	0.467020107905323	-0.297737824596618	0.765903272071174	NA
"AA207074"	1.79490576204531	-0.0681500264481379	0.446427237327321	-0.152656515440545	0.878669154381873	NA
"AA211800"	1.70164674484046	0.0415408634951717	0.447271129171088	0.0928762461645086	0.926001876979137	NA
"AA234312"	1.05199848461131	-0.0610454682649494	0.571235572060858	-0.106865663223168	0.914895553932512	NA
"AA400465"	2.32074634329066	1.31744249471138	0.471525728103492	2.79399917372531	0.00520606116923807	NA
"AA402960"	1.08294474540874	0.442999921859686	0.536765055549215	0.825314385278696	0.409193126911245	NA
"AA404501"	1.08294474540874	-0.119940683194781	0.568938100869526	-0.210814995535494	0.833031636759624	NA
"AA432215"	1.17578352780105	-0.283444006334965	0.561928895016871	-0.504412584667772	0.613971476387889	NA
"AA448469"	1.14487038375847	-0.230981135802933	0.56303164300628	-0.410245389707798	0.681625947711533	NA
"AA455656"	3.12483121281934	-0.0408447938856399	0.342063361234541	-0.119407099720434	0.90495283677644	NA
"AA478981"	1.20672978859848	0.0320596310176365	0.530556164793685	0.0604264602789101	0.951815984903206	NA
"AA514833"	1.11368350694983	-0.176485281073665	0.565791503978363	-0.311926354200636	0.75509649330057	NA
"AA524504"	0.928131490651217	0.202014102274676	0.591049174262285	0.341788993321611	0.732509693363552	NA
"AA527141"	1.11389100620618	-0.176525482015388	0.564792745910807	-0.312549131152023	0.754623230489552	NA
"AA528286"	0.866320919826695	0.354002993263521	0.604353225352987	0.58575511540748	0.558040090343448	NA
"AA534873"	0.773482137434389	0.114544231787119	0.667389188420399	0.171630337701794	0.863728155312172	NA
"AA541413"	2.84661479662992	0.0826869918704453	0.354743591852902	0.233089458892135	0.815691940079895	NA
"AA554330"	1.98000442677652	0.0645152992694645	0.415519010550928	0.155264374508221	0.876612900002063	NA
"AA586832"	3.92975132403437	-0.687019693674974	0.349712998476899	-1.96452432899876	0.0494693177245872	0.343193391714324
"AA594975"	0.773400186664041	0.114566238861255	0.658069240923823	0.174094505162438	0.861791191503904	NA
"AA603635"	3.06297705264028	0.000372201865363763	0.338209527697026	0.00110050674177691	0.999121922838919	NA
"AA604115"	8.60095575683583	-0.0302354924360177	0.252045656867021	-0.11996037865461	0.904514534495186	0.994268864704481
"AA604529"	1.14483726700361	-0.23097518274692	0.564807362022176	-0.408945063888618	0.682579977223553	NA
"AA609065"	0.990105963016436	0.0644884041388309	0.579770493139254	0.111230917926935	0.911433234789968	NA
"AA630774"	3.31083658904646	0.0369134815165563	0.335166956941261	0.110134608296203	0.912302621644488	NA
"AA631847"	3.52686579731448	0.0275269722892204	0.316626372585688	0.0869383433364218	0.930720521313678	NA
"AA631975"	1.14470648221777	-0.230949001499602	0.564362515266605	-0.409221015308753	0.682377473350147	NA
"AA639753"	4.45519262402766	-0.126927714324379	0.30267703794541	-0.419350325303737	0.674960122251781	0.953592366185163
"AA640840"	1.6714154051821	0.320495126947488	0.460466146720501	0.696023213063751	0.486414292593164	NA
"AA677001"	1.23762721538043	0.147545841570377	0.516364170960733	0.285739890310083	0.775077349825357	NA
"AA678491"	1.54651615960122	-0.0203103183724173	0.476742521795819	-0.0426022799390985	0.966018578013456	NA
"AA703521"	1.11389100620618	0.201988831525216	0.540505226511919	0.373703752743937	0.708624733017156	NA
"AA707418"	1.05199848461131	-0.0610454682649494	0.571235572060858	-0.106865663223168	0.914895553932512	NA
"AA738314"	1.11389100620618	-0.176525634332352	0.565796689019766	-0.311994816792194	0.755044462470379	NA
"AA780485"	9.77639912876202	-0.148711209717175	0.287505628124431	-0.517246255968296	0.604984265856937	0.926229253903177
"AA782850"	1.42330478016504	-0.300516806876826	0.517641879184276	-0.580549640516711	0.561544021373329	NA
"AA807805"	0.185677564784612	0.48961485527142	1.38282698221821	0.354068051583737	0.723287884308274	NA
"AA812298"	4.76513645566331	-0.0293622339382602	0.296506453377716	-0.0990273014424278	0.921116593223456	0.994268864704481
"AA814210"	1.20681173936883	0.0320381141633164	0.540300232917	0.0592968727597014	0.952715651910208	NA
"AA827683"	1.08294474540874	0.263390865346345	0.543156546617932	0.484926246376663	0.627728663706125	NA
"AA827885"	1.02105222381387	0.00035653133398115	0.574753264804351	0.000620320676390616	0.999505055741303	NA
"AA828280"	1.60898234494965	0.0320548962339967	0.472963841134788	0.0677745177244142	0.945965129018193	NA
"AA854066"	1.20672978859848	0.0320596310198387	0.530556164793786	0.0604264602830494	0.951815984899909	NA
"AA854379"	1.48544315407095	-0.226904126183635	0.499780999332199	-0.454007108086985	0.64982371074678	NA
"AA877852"	9.12658359416388	0.493730211440406	0.211721535053897	2.33197917875816	0.0197017865319347	0.204688417329104
"AA884902"	1.14483726700361	0.143093440617887	0.539618822728503	0.265175035767573	0.790874625266899	NA
"AA885134"	1.29956857099079	-0.292785372884936	0.535523236859857	-0.546727672550194	0.584565839716426	NA
"AA962383"	1.11389100620618	0.0175629262832759	0.550794707263216	0.0318865196990408	0.974562548896082	NA
"AA970917"	0.835423493044751	0.201987347658191	0.625455804209771	0.322944237304491	0.746737473220644	NA
"AA972037"	0.959159702219001	-0.321571541658887	0.627869107168516	-0.512163344218462	0.608536694935256	NA
"AA975481"	1.08294474540874	-0.119940683194781	0.568938100869526	-0.210814995535494	0.833031636759624	NA
"AA989132"	1.02105222381387	0.00035653133398115	0.574753264804351	0.000620320676390616	0.999505055741303	NA
"AAAS"	1.02105222381387	0.00035653133398115	0.574753264804351	0.000620320676390616	0.999505055741303	NA
"AACS"	0.278516347176917	0.527251422166476	1.0018039104883	0.526302020431803	0.598678379451391	NA
"AADAC"	0.89726718062413	-0.190323191779973	0.633092494473907	-0.300624621901622	0.763700753925012	NA
