Gene_ID	N2A	N3A	N5B	N6B	N7B	N8B	N10B	N12B	N13B	B3B	B4B	B5B	B6B	B8B	B9B
A1BG	89	74	118	39	85	64	99	84	52	84	80	113	95	133	92
A1BG_AS1	53	44	74	22	46	36	63	45	29	44	72	73	63	48	65
A1CF	4657	5832	4484	5129	6074	5234	5400	4948	4857	3974	7320	4931	3648	3966	4868
A2M	45556	32714	42525	35906	32951	38774	49935	41732	34923	38409	45063	40391	52160	34047	33581
A2M_AS1	175	183	156	153	185	153	216	188	158	188	215	139	200	188	173
A4GALT	2291	2118	2303	2487	2337	2063	4388	2736	2486	2956	2013	3103	3593	2592	2883
A4GNT	158	48	146	76	75	343	77	84	149	179	231	140	170	63	162
AAAS	2231	1911	2031	2067	2148	2137	1709	1901	1717	2172	2156	2336	2062	2165	2143
AACS	1333	1560	1300	1686	1519	1498	1483	1686	1407	1592	1425	1667	1514	1713	1831
AACSP1	236	212	133	175	84	92	287	68	21	190	99	146	50	51	151
AADAT	398	367	570	406	408	374	308	425	600	241	620	431	356	395	401
AAED1	259	285	301	286	275	243	282	283	496	236	231	191	257	259	227
AAGAB	1734	1891	1577	1574	1714	1798	1728	1707	1673	1702	1815	1598	1814	1794	1581
AAK1	12728	12107	10309	11358	11062	11324	13070	11176	12849	12231	12500	11832	10722	11580	12886
AAMDC	486	540	506	457	587	528	428	475	481	519	593	598	505	771	513
AAMP	4088	4060	4319	4386	4005	4295	4189	4536	4277	4677	4033	4951	4594	6134	4837
AANAT	49	36	33	34	37	32	81	34	57	32	36	46	49	23	16
AAR2	1495	1453	1429	1349	1621	1371	1497	1428	1350	1847	1662	1735	1731	1847	1669
AARD	63	95	72	190	69	91	45	86	92	204	23	139	69	73	50
AARS	7599	8601	7840	6858	7502	7201	7185	7423	6484	7606	7937	7965	7719	5903	7485
AARS2	1973	1916	1949	1813	1957	2208	2021	2077	1669	2102	2105	2256	1926	1816	2170
AASDH	1059	1196	962	1055	1099	884	968	856	952	826	1132	746	825	722	902
AASDHPPT	1151	1340	1138	1352	1342	1303	1170	1183	1217	977	949	828	1045	818	988
AASS	5666	5539	6373	4292	4458	4330	6755	4630	6717	3207	6442	4400	5081	4351	5304
AATBC	262	189	221	144	238	249	282	265	240	299	224	293	297	139	249
AATF	1803	2103	2161	1994	2013	2133	1982	2007	2069	2036	2008	1931	2079	1796	1865
AATK	605	442	783	331	431	1441	878	726	1058	769	449	1156	905	534	1029
ABALON	210	254	228	211	247	173	235	155	256	283	328	317	222	279	196
ABAT	22523	26156	25424	24543	24940	25632	20026	23836	21927	18276	26156	23622	22523	16468	26034
ABCA1	5516	6657	6445	5805	5525	3808	5592	4092	4472	5037	9161	4669	5941	7102	5108
ABCA10	959	968	876	714	952	754	1044	917	742	1019	943	717	660	987	679
ABCA11P	336	334	241	313	326	264	275	269	287	352	386	285	305	353	345
ABCA12	98	95	60	128	68	94	187	95	104	81	103	42	73	34	62
ABCA13	45	49	12	61	20	94	61	29	25	134	40	13	77	458	487
ABCA2	7728	5637	6037	7121	6745	8843	7886	7030	5185	8265	6812	8488	7769	6397	8665
ABCA3	2061	1524	1343	1847	1787	2036	2146	1796	1396	2194	1880	2045	1824	1656	2140
ABCA4	309	392	238	216	298	550	269	443	217	547	356	260	311	537	710
ABCA5	3852	3830	3323	3482	3501	2576	3736	2952	4033	2151	2588	2335	2541	1900	2116
ABCA6	1414	1205	2056	991	1310	770	1278	1531	984	1130	1420	1139	993	1356	904
ABCA7	1793	1502	1294	1567	1621	1294	1876	1520	1673	1636	1342	1460	1341	963	1290
ABCA8	2726	2295	4445	2432	2849	1363	2550	2513	1997	3538	3333	2653	1775	2749	2231
ABCA9	911	823	1247	537	893	468	849	1049	687	912	806	688	663	936	683
ABCB1	7473	9628	7397	8336	8638	6903	6854	7185	7812	6354	7191	5544	7079	5446	6825
ABCB10	1130	1443	1216	1261	1255	1248	1181	1307	1095	1231	1311	1198	1210	1326	1340
ABCB4	119	144	301	179	134	127	199	188	294	193	129	238	218	172	101
ABCB6	1466	1572	1341	1427	1558	1467	1405	1642	1254	1744	1849	1837	1770	1527	1698
ABCB7	1522	1660	1478	1569	1478	1560	1257	1349	1352	1301	1499	1312	1260	1268	1307
ABCB8	3085	2706	2733	2829	2889	2750	2916	3292	2549	3146	2908	3375	2703	2755	3003
ABCB9	463	372	443	509	490	448	678	572	425	552	440	616	559	553	672
ABCC1	3684	2852	2933	2978	2965	3208	3213	3313	2889	3280	2888	3131	2885	2656	3834
ABCC10	2683	2516	2103	1937	2397	2460	2497	2789	1743	2985	2414	2842	2882	2117	2953
ABCC11	15	33	30	24	37	30	17	136	16	129	30	34	26	20	30
ABCC2	8192	11738	9396	9049	11176	10833	8258	9186	11941	8228	10181	10520	9298	8096	7975
ABCC3	2449	2486	1686	1705	2705	5370	2131	2795	1752	5393	2732	3269	3120	3418	4372
ABCC4	5881	5121	5292	6336	6836	7892	7638	7329	5362	9194	4706	4367	7171	6832	5724
ABCC5	4204	4887	3301	4209	4192	3881	4343	3976	3661	4056	4122	4143	3705	4198	3792
ABCC6	13005	13701	13993	11620	14918	13361	11921	10070	11131	14213	13424	16305	13352	9025	13053
ABCC6P1	1696	956	1285	1003	1252	1131	938	1206	547	623	1105	1179	1821	866	919
ABCC6P2	416	334	406	309	475	446	348	412	398	504	436	528	458	605	435
ABCC8	105	126	182	97	64	167	116	79	79	142	107	171	111	156	81
ABCC9	1413	1261	2085	947	1028	988	1399	1620	1172	1718	1748	1248	1299	2908	1819
ABCD1	1047	1064	1212	1132	1203	1134	1465	1489	1158	1109	1078	1437	1283	878	1164
ABCD2	190	162	126	175	158	109	77	95	165	185	200	252	121	184	123
ABCD3	5706	5142	5029	4860	5287	5923	3728	4879	5004	4803	5033	3918	4864	3579	5055
ABCD4	4150	4457	4314	4377	4904	4532	4277	4624	3944	4630	4227	4241	3972	3990	4071
ABCE1	1379	1297	1196	1140	1195	1151	1147	1142	1451	1038	1213	880	1129	762	1146
ABCF2	2020	2329	2116	2053	2215	2153	2224	2234	2186	2417	2634	2760	2569	2269	2628
ABCF3	2906	3371	3130	2801	2989	3247	3138	3009	3157	3252	3439	3647	3426	3306	3524
ABCG1	812	970	1409	1180	995	887	1705	1136	1363	918	1892	1344	2268	1252	1595
ABCG2	634	707	666	436	506	840	672	535	534	448	623	420	502	590	513
ABCG5	69	69	25	61	90	103	39	59	29	75	100	83	102	103	106
ABCG8	11	66	28	49	16	168	44	23	14	57	95	31	42	65	115
ABHD1	158	179	154	94	191	154	184	131	145	255	234	276	218	198	260
ABHD10	2932	2916	2690	2534	2427	2903	2016	2447	2342	2636	2598	2423	2264	2538	2632
ABHD11	1235	1126	1204	1614	1691	1409	1451	1476	2138	1432	993	1203	1253	1352	1437
ABHD11_AS1	94	84	86	166	245	107	114	84	190	74	57	68	50	37	68
ABHD12	1992	2342	2366	2636	2508	2636	2882	2552	2416	2523	2519	2812	2355	3866	3086
ABHD13	663	571	581	536	565	514	616	607	721	380	416	390	522	470	472
ABHD14A	667	818	899	678	695	1373	557	811	645	1314	1165	1389	1012	2075	1469
ABHD14B	5546	5257	5963	5578	6043	5863	5263	6973	5047	6772	6092	7836	6769	7412	6896
ABHD15	1988	1949	2786	1733	2575	1837	2070	2364	2225	2728	2182	3243	2271	2798	2756
ABHD16B	447	403	482	473	478	521	492	545	359	395	356	529	430	333	428
ABHD17A	1745	1261	1710	1775	1703	1930	2140	2019	1745	2129	1321	2417	2206	2906	2238
ABHD17B	842	961	1088	975	888	845	1025	968	962	746	649	761	933	711	870
ABHD17C	664	806	688	820	834	901	717	820	705	732	566	535	648	727	928
ABHD18	1215	1441	1285	1367	1361	1345	1264	1191	1370	1232	1327	1241	1122	1175	1326
ABHD2	9827	8475	8793	8606	10203	9654	10100	9442	9735	8352	9858	8632	8043	9202	9641
ABHD3	581	654	679	566	552	565	619	652	721	524	603	548	603	523	476
ABHD4	1853	2432	2191	2703	2346	2400	2293	2106	2306	2138	2089	2324	1863	2022	1848
ABHD5	869	1045	1083	1040	1001	963	979	897	1293	987	931	822	1044	902	919
ABHD6	3466	3447	3684	2810	3676	3299	2941	3176	2713	3443	3566	3396	3616	2901	3058
ABHD8	701	684	715	889	924	829	957	899	673	1164	609	1073	949	1188	1011
ABI1	2317	2635	2613	2778	2676	2784	2201	2409	2555	2137	2388	2106	2295	2048	2132
ABI2	5247	5137	4520	4764	5111	5200	5091	5015	4728	5411	5749	4787	5106	5483	4869
ABI3	640	534	551	638	339	671	712	587	660	641	475	656	905	761	879
ABI3BP	2297	2677	3122	2619	2012	2724	1971	2381	2629	2014	2648	1610	1497	1379	1819
ABL1	5903	6714	7050	8082	6815	7007	6389	6995	7475	7310	6663	7007	5974	6137	6357
ABL2	2927	3326	2906	3532	3154	2876	3613	2897	3426	3639	3583	3594	3379	3980	3418
ABLIM1	16533	16332	13815	14291	14109	15059	14510	15371	15166	15718	15425	14332	16733	15805	16049
ABLIM2	901	805	708	1084	707	712	1405	1006	968	714	690	916	897	911	580
ABLIM3	2312	3423	3072	4306	4645	2353	5109	2670	3652	2156	5365	3172	2053	2340	2630
ABO	2209	1171	927	325	2227	2643	1660	2227	531	1549	1227	2087	1417	1088	1761
ABR	7970	2933	4007	8346	3399	6941	7809	8559	6056	5272	7603	7481	6922	4942	6267
ABRA	41	61	8	20	66	48	48	34	45	106	125	103	89	102	90
ABRACL	443	478	395	457	455	410	413	380	539	502	361	350	415	513	307
ABT1	517	542	702	664	739	588	653	632	653	762	661	807	813	1100	687
ABTB1	1914	1672	1990	2103	1747	1794	2054	1680	1398	1557	1397	1623	1496	1720	1269
ABTB2	2782	2701	2956	3229	1848	2132	3867	2781	4103	2091	2001	2658	2581	1885	2857
ACAA1	16332	15013	17210	15289	15593	18213	13851	17099	13563	27547	16114	21149	17498	33157	17566
ACAA2	14035	15512	13311	14213	14253	13596	10575	13329	11440	24760	12297	12595	12218	13734	12342
ACACA	3416	3681	2872	3187	2982	3149	3549	3300	3146	4204	4641	3990	4296	4612	4945
ACACB	12960	12522	12287	11429	11131	12297	13510	11429	10200	12095	12095	13138	12231	14578	16305
ACAD10	5886	5991	6393	6088	6062	5905	5750	5855	5304	5813	7033	6304	6031	4073	5308
ACAD8	2899	3364	2980	2897	2814	2735	2503	2791	2316	3010	3032	3164	2511	3001	2848
ACAD9	2773	3084	2755	2772	2807	3002	2725	2590	2666	3007	2968	3062	3245	3023	2813
